datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,tzoffset
2024-10-01,1727758800,69.6,56.5,65.3,69.6,56.5,65.3,46.6,54.9,0.0,0.0,0.0,,0.0,0.0,29.5,18.1,328.0,1017.0,52.3,9.9,34.9,2.9,5.0,10.0,06:48:04,1727783284,18:31:18,1727825478,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,
2024-10-02,1727845200,71.3,49.4,60.8,71.3,49.4,60.8,36.7,43.1,0.0,0.0,0.0,,0.0,0.0,19.7,11.3,236.3,1017.1,40.9,9.9,49.5,4.2,5.0,10.0,06:49:08,1727869748,18:29:36,1727911776,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,
2024-10-03,1727931600,77.8,53.7,64.2,77.8,53.7,64.2,45.4,52.4,0.0,0.0,0.0,,0.0,0.0,18.6,11.0,259.6,1016.9,13.8,9.9,45.5,3.8,4.0,10.0,06:50:13,1727956213,18:27:53,1727998073,0.03,Clear,Clear conditions throughout the day.,clear-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,
2024-10-04,1728018000,71.2,61.5,65.1,71.2,61.5,65.1,52.1,63.3,0.039,100.0,12.5,['rain'],0.0,0.0,26.4,16.8,44.2,1023.2,50.2,9.9,32.4,2.6,4.0,10.0,06:51:18,1728042678,18:26:12,1728084372,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,
2024-10-05,1728104400,85.5,59.5,71.2,83.8,59.5,70.9,53.0,55.0,0.0,0.0,0.0,,0.0,0.0,33.6,19.1,165.5,1018.5,41.5,9.9,47.3,4.0,4.0,10.0,06:52:23,1728129143,18:24:31,1728170671,0.1,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,
2024-10-06,1728190800,76.2,58.6,69.2,76.2,58.6,69.2,44.6,42.7,0.0,0.0,0.0,,0.0,0.0,34.4,20.4,277.9,1013.5,10.8,9.9,55.1,4.7,6.0,10.0,06:53:29,1728215609,18:22:50,1728256970,0.13,Clear,Clear conditions throughout the day.,clear-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,
2024-10-07,1728277200,67.5,49.9,58.0,67.5,46.5,57.8,33.1,41.7,0.0,0.0,0.0,,0.0,0.0,18.3,11.6,315.4,1019.4,16.3,9.9,55.0,4.7,6.0,10.0,06:54:35,1728302075,18:21:10,1728343270,0.17,Clear,Clear conditions throughout the day.,clear-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,
2024-10-08,1728363600,73.8,49.2,60.8,73.8,48.1,60.7,39.3,47.5,0.0,0.0,0.0,,0.0,0.0,25.9,11.7,291.2,1017.0,7.8,9.9,55.3,4.7,6.0,10.0,06:55:41,1728388541,18:19:30,1728429570,0.2,Clear,Clear conditions throughout the day.,clear-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,
2024-10-09,1728450000,68.6,52.8,60.4,68.6,52.8,60.4,46.2,60.9,0.0,0.0,0.0,,0.0,0.0,19.7,13.4,81.8,1018.5,15.1,9.9,50.5,4.3,5.0,10.0,06:56:47,1728475007,18:17:51,1728515871,0.24,Clear,Clear conditions throughout the day.,clear-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,
2024-10-10,1728536400,71.4,54.3,62.2,71.4,54.3,62.2,43.8,53.8,0.0,0.0,0.0,,0.0,0.0,15.4,9.0,95.0,1021.7,0.8,9.9,51.5,4.5,6.0,10.0,06:57:54,1728561474,18:16:13,1728602173,0.25,Clear,Clear conditions throughout the day.,clear-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,
